ID;Domanda;Opzione A;Opzione B;Opzione C;Opzione D;Corretta;Spiegazione/Fonte
222;Acqua viva (Gv 4)?;Battesimo;Spirito Santo;Pioggia;Vino;B;Alla Samaritana [419].
223;Nome divino in Gesù?;Pane;Vite;Io Sono;Via;C;Egò eimì [420, 421].
224;Risorto a Betania?;Simone;Lazzaro;Tommaso;Filippo;B;Simbolo risurrezione Gesù [327, 422].
225;Intercessore?;Logos;Paràclito;Vangelo;Testamento;B;Spirito Santo [158, 159].
226;Sangue e acqua?;Morte;Eucaristia e Battesimo;Sofferenza;Peccato;B;Fianco di Cristo [423, 424].
227;Confessione di Tommaso?;Grazie;Signore;Mio Signore e mio Dio;Maestro;C;NT [425-427].
228;Fine degli Atti (città)?;Gerusalemme;Antiochia;Efeso;Roma;D;Missione compiuta [192, 315, 316].
229;Sostituì Giuda?;Paolo;Barnaba;Mattia;Stefano;C;Sorteggio [200, 201, 428].
230;Discesa Spirito?;Ascensione;Pentecoste;Trasfigurazione;Pasqua;B;50 giorni dopo [308, 429].
231;Stefano diacono?;Filippo;Stefano;Nicanore;Timone;B;L'uomo del discorso [176, 177].
232;Conversione di Saulo?;Gerico;Damasco;Tempio;Roma;B;Sulla via [430].
233;Cornelio?;Longino;Cornelio;Giulio;Quirino;B;Centurione pagano [431].
234;Nome "Cristiani"?;Gerusalemme;Antiochia;Roma;Corinto;B;Siria [432-434].
235;Compagno Paolo I?;Sila;Timoteo;Barnaba;Luca;C;Antiochia-Cipro [313, 435].
236;Nome romano di Saulo?;Pietro;Paolo;Marco;Luca;B;Dopo Cipro [436].
237;Concilio Gerusalemme?;No Sabato;No circoncisione pagani;Solo Roma;Scomunica;B;At 15 [292, 437].
238;Lidia?;Damaris;Prisca;Lidia;Febe;C;Filippi [438-440].
239;Dio Ignoto?;Corinto;Atene;Efeso;Tessalonica;B;Areopago [359, 441].
240;Governatore a Cesarea?;Pilato;Felice;Erode;Quirino;B;Due anni di prigione [442].
241;Lettere nel NT?;13;7;21;27;C;Paoline e Cattoliche [435, 443].
242;Ordine Lettere Paolo?;Cronologia;Lunghezza;Alfabetico;Importanza;B;Disposizione canonica [444, 445].
243;Lettere principali?;Ts;Romani-Corinzi-Galati;Ef-Col;Tm;B;Ampie e teologiche [446, 447].
244;Lettere pastorali?;Ef;Gal;Timoteo-Tito;Cor;C;Organizzazione [447-449].
245;Scrisse Romani da...?;Roma;Efeso;Corinto;Gerusalemme;C;Terza visita [450].
246;Tema di Romani?;Circoncisione;Giustificazione per fede;Fine;Miracoli;B;Grazia [246, 451].
247;Esempio fede (Rm 4)?;Mosè;Davide;Abramo;Noè;C;Padre dei credenti [452, 453].
248;Abbà?;Signore;Padre;Re;Creatore;B;Filiazione [188, 238].
249;Sacrificio vivente?;Tori;Offrire se stessi;Preghiera;Digiuno;B;Culto razionale [454, 455].
250;Colletta?;Tasse;Poveri Gerusalemme;Tempio;Pergamene;B;Solidarietà [456, 457].
251;Perché 1 Corinzi?;Ringrazio;Risposta a divisioni;Viaggio;Soldi;B;Quesiti morali [458, 459].
252;Carismi (1 Cor)?;Romani;Galati;1 Corinzi;Filippesi;C;Corpo di Cristo [460, 461].
253;Via più alta?;Profezia;Lingue;Fede;Carità;D;1 Cor 13 [198, 462, 463].
254;Glossolalia?;Traduzione;Lingue (estasi);Scrittura;Esegesi;B;Dono spirituale [464, 465].
255;Vasi di creta?;Principi;Apostoli;Padroni;Angeli;B;2 Cor 4 [466-468].
256;Magna charta libertà?;Romani;Galati;Efesini;Colossesi;B;Contro legalismo [286, 469].
257;Lettere prigionia?;Rm;Ef-Fil-Col-Fm;Ts;Tm;B;In catene [447, 470, 471].
258;Chiesa in Efesini?;Gregge;Corpo e Sposa;Vigna;Esercito;B;Unità in Cristo [472-474].
259;Inno Kènosis?;Carità;Sapienza;Cristologico (svuotamento);Creazione;C;Fil 2 [189, 475, 476].
260;Lettera per schiavo?;Timoteo;Tito;Filemone;Onesimo;C;Breve biglietto [218, 477, 478].
261;Genere Ebrei?;Lettera;Omelia/Discorso;Profezia;Apocalisse;B;Restaurazione culto [447, 479].
262;Melchisedek?;Aronne;Mosè;Re-Sacerdote eterno;Abramo;C;Anticipo di Cristo [425, 480, 481].
263;Tesi Ebrei?;Ritorno;Superiorità sacerdozio Cristo;Circoncisione;Preghiera;B;Una volta per tutte [482, 483].
264;Fede e Opere?;Paolo;Giovanni;Giacomo;Pietro;C;Lettera pratica [484, 485].
265;1 Pietro - Tema?;Gioia;Speranza nelle prove;Fine;Povertà;B;Perseguitati [128, 364, 486].
266;Dio è Amore?;Forza;Legge;Amore/Luce;Giudice;C;1 Gv [216, 323, 487].
267;Apocalisse?;Distruzione;Fine;Rivelazione;Terremoto;C;Togliere il velo [185, 488, 489].
268;Giovanni a...?;Cipro;Creta;Patmos;Malta;C;Confinato [339, 490, 491].
269;Sette Chiese?;Roma;Totalità della Chiesa;Tribù;Angeli;B;Universalità [335, 492].
270;Chi apre i sigilli?;Mosè;Angelo;L'Agnello (Cristo);Giovanni;C;Immolato [341, 493].
271;Quattro esseri?;Stagioni;Evangelisti;Angeli;Regni;B;Trono di Dio [493, 494].
272;144.000?;Tribù;Totalità dei redenti;Martiri;Leviti;B;Simbolo [148, 149, 495].
273;Bestia dal mare?;Terremoto;Impero persecutore;Morte;Mare;B;Roma pagana [496, 497].
274;Nuova Gerusalemme?;Città Davide;Dimora Dio con uomini;Fortezza;Sogno;B;Sposa [343, 498].
275;Invocazione finale?;Aiuto;Giustizia;Vieni, Signore Gesù;Pace;C;Maranà-thà [151, 499].
276;Papiro 52?;Vaticano;Gv 18 (125 d.C.);Vulgata;Aleppo;B; NT antico [15, 500, 501].
277;Riferimenti AT in Gv?;56;30;22;16;D;Distribuzione Murdocca [502, 503].
278;Libro AT più citato?;Genesi;Isaia;Salmi;Levitico;B;Nel Nuovo Testamento [503, 504].
279;Inerranza?;Scienza;Verità salvifica;Greco;Geografia;B;Concilio Vat II [31, 505, 506].
280;Capitoli?;I sec;XIII sec;XVI sec;IV sec;B;Uso liturgico [1, 4, 507].
281;Versetti (1528)?;Girolamo;Erasmo;Sante Pagnini;Lutero;C;Numerazione [1, 4, 380, 508].
282;Testamentum?;Ultima volontà;Alleanza;Legge;Codice;B;Traduzione latina [24-26].
283;Nome "Bibbia"?;Tiro;Sidone;Gebal (Biblo);Arvad;C;Papiro [19, 33, 385].
284;Materiale resistente?;Papiro;Pergamena;Carta;Seta;B;Pelle animale [15, 16, 509].
285;Pecore per un codice?;10;50-60;100;200;B;Costo elevato [15, 294, 510].
286;Codici IV secolo?;Aleppo;Sinaitico e Vaticano;Qumran;Bodmer;B;Pergamena [511].
287;Lingua NT?;Ebraico;Aramaico;Greco (Koinè);Latino;C;Lingua comune [333, 512].
288;Masoreti?;Settanta;Vocali al testo ebraico;Nemici;Scribi;B;Fissazione [30, 329].
289;Apòkryphos?;Falso;Nascosto/Segreto;Eretico;Perduto;B;Non canonico [11, 27].
290;Apostolicità?;Liturgico;Ortodossia;Legame con Apostoli;Universalità;C;Criterio [303, 304].
291;Girolamo (Vulgata)?;Ebraico;Greco;Ebraico in Latino;Aramaico;C;IV sec [21-23].
292;70 d.C.?;63 a.C.;135 d.C.;70 d.C.;313 d.C.;C;Distruzione Tempio [229, 513, 514].
293;Autore Ebrei?;Paolo;Pietro;Ignoto;Luca;C;Stile alessandrino [235, 447, 515].
294;Rivolta 66-70 d.C.?;Atti;Luca;Nessuno;Apocalisse;C;Sfondo storico [229, 516].
295;Naufragio Paolo?;Cipro;Creta;Malta;Rodi;C;Verso Roma [517, 518].
296;Compagno Paolo II?;Barnaba;Sila;Marco;Giacomo;B;Dopo scisma [519, 520].
297;Sede di Giovanni?;Gerusalemme;Roma;Efeso;Antiochia;C;Tradizione [521, 522].
298;Sinottici?;Latino;Sguardo d'insieme;Giudei;Anonimi;B;Similitudini [119, 120, 359].
299;Maranà-thà?;Dio ci aiuti;Vieni, Signore!;Qui;Pace;B;NT [151, 152, 523].
300;Voci Proverbi/Daniele?;Ravasi;Giuseppe Bernini;Murdocca;Ricciotti;B;Ed. San Paolo [524, 525].
301;Bibbia esente errore?;Scienza;Verità salvifica;Cronologia;Geografia;B;Inerranza DV [505, 506, 526].
302;597 a.C.?;722;587;597;538;C;Prima deportazione [527, 528].
303;Autore Luca (San Paolo)?;Ghidelli;Martini;Segalla;Sisti;A;Edizione [525, 529, 530].
304;qadôsh?;Puro;Perfetto;Separato;Divino;C;Santità ebraica [531-533].
305;Biblo porto?;Tiro;Gebal (Biblo);Sidone;Arvad;B;Papiro [34, 534, 535].
306;Lingua AT?;Greco;Latino;Ebraico;Aramaico;C;Testo originale [536].
307;Opera Deuteronomistica?;Wellhausen;Martin Noth;De Wette;Origene;B;Gs-2 Re [344, 537].
308;333 a.C.?;538;63;333;164;C;Alessandro Magno [155, 538].
309;Sedecìa deportato?;Ioiachìn;Ioiakìm;Sedecìa;Ezechia;C;Ultimo Re [539, 540].
310;Diatesseron?;Commento;Sintesi 4 Vangeli;Critica;Traduzione;B;Taziano [122, 541, 542].
311;Visione carro (Chebar)?;Isaia;Geremia;Ezechiele;Daniele;C;593 a.C. [56, 275, 543].
312;Baruc?;Esdra;Neemia;Baruc;Tichico;C;Segretario Geremia [138, 139, 544].
313;P52?;Pergamena;Pietra;Papiro;Carta;C;Giovanni (125 d.C.) [501, 545, 546].
314;Libri Deuterocanonici?;5;7;10;12;B;Solo cattolici [11, 14, 547].
315;Rimozione negromanti?;Davide;Salomone;Saul;Giosia;C;Poi consultata [424, 548].
316;Editto 538 a.C.?;Dario;Serse;Ciro;Artaserse;C;Ritorno [113, 114, 549].
317;Uccise Sisara piolo?;Debora;Rut;Giaele;Giuditta;C;Giudici [86, 550, 551].
318;Tema Levitico?;Conquista;Purità e santità;Deserto;Creazione;B;Culto [73, 74, 426].
319;Giosia riforma?;Ezechia;Giosia;Davide;Asa;B;Libro Legge [162, 377, 552].
320;Apocalisse a...?;Cipro;Creta;Patmos;Malta;C;Giovanni [339, 491, 553].
321;Mattia?;Paolo;Barnaba;Mattia;Stefano;C;Post Giuda [201, 202].
322;Apokàlypsis?;Euanghèlion;Rivelazione;Diathèke;Kanòn;B;Svelamento [353, 357, 554].
323;63 a.C.?;164;333;63;70;C;Pompeo [45, 192, 555].
324;Tre parti di Isaia?;Geremia;Ezechiele;Isaia;Zaccaria;C;Redazione [137, 437].
325;Quanti Salmi?;100;120;150;200;C;Tehillim [163, 165, 399].
326;Tutto è vanità?;Proverbi;Sapienza;Qoelet;Giobbe;C;Finitudine [196, 429].
327;Vulgata?;Agostino;Ambrogio;Girolamo;Damaso;C;Latino [22, 23, 428].
328;Salvatore di tutti (Lc)?;Matteo;Marco;Luca;Giovanni;C;Misericordia [185, 186].
329;Antiochia - Nome?;Gerusalemme;Roma;Antiochia;Efeso;C;Cristiani [433, 434, 556].
330;Emanuele?;Dio forte;Dio con noi;Salva;Luce;B;Mt 1 [173, 174].
331;Eli?;Aronne;Eli;Zadok;Caifa;B;Sacerdote di Silo [433, 557].
332;Donna moabita?;Ester;Giuditta;Rut;Debora;C;Bisnonna Davide [439, 558, 559].
333;Monte Decalogo?;Tabor;Carmelo;Sinai;Nebo;C;Mosaica [53, 441, 560].
334;Maccabei - Mattatia?;Davide;Giosuè;Mattatia;Simone;C;167 a.C. [182, 183, 561].
335;Ordine Re?;Davide-Saul;Saul-Davide-Salomone;Sal-Dav;Saul-Sal-Dav;B;Storia [562].
336;Euanghèlion?;Legge;Buona notizia;Visione;Codice;B;Lieto annuncio [117, 518].
337;Ossa inaridite?;Isaia;Geremia;Ezechiele;Daniele;C;Ez 37 [142, 143, 435].
338;Libri cattolici?;66;73;39;27;B;Bibbia [9, 10, 445, 563].
339;Precursore?;Mosè;Elia;Giovanni Battista;Giuseppe;C;Voce [122, 193, 447].
340;Mar Rosso?;Mar Morto;Mediterraneo;Mar Rosso;Galilea;C;Esodo [57, 368, 564].
341;70 d.C. Tito?;63 a.C.;135 d.C.;70 d.C.;313 d.C.;C;Distruzione [229, 246, 514].
342;Legame Apostoli?;Liturgico;Ortodossia;Apostolicità;Universalità;C;NT [303, 304, 565].
343;Autore Atti?;Paolo;Pietro;Luca;Giovanni;C;III Vangelo [129, 202, 566].
344;Isaia più citato?;Genesi;Isaia;Salmi;Levitico;B;In NT [503, 567].
345;Giosuè - Etimo?;Dio forte;Jhwh salva;Pace;Nun;B;Salvezza [455, 568, 569].
346;Capitoli divisione?;II sec;XIII sec;XVI sec;IV sec;B;Medioevo [1, 570].
347;La più grande?;Fede;Speranza;Carità;Sapienza;C;1 Cor 13 [199, 571, 572].
348;Stefano protomartire?;Giacomo;Pietro;Stefano;Paolo;C;Atti [177, 573].
349;Bestia dal mare?;Leone;Bestia mare;Agnello;Aquila;B;Potere [337, 338, 574].
350;40 anni?;7;12;40;70;C;Deserto [59, 60, 459].
351;Circoncisione Abramo?;Arco;Sabato;Circoncisione;Tavole;C;Segno [44, 575].
352;Agnello sigilli?;Mosè;Angelo;L'Agnello;Giovanni;C;Apocalisse [331, 576, 577].
353;Lingua di Gesù?;Ebraico;Aramaico;Greco;Latino;B;Palestina [19, 301, 302].
354;Capitale di Davide?;Sichem;Gerusalemme;Hebron;Samaria;B;Sion [95, 96, 578].
355;Autore Romani?;Pietro;Giacomo;Paolo;Luca;C;Giustificazione [368, 579].
356;Israele lotta?;Abramo;Isacco;Giacobbe;Giuseppe;C;Giacobbe [46, 461, 580].
357;Pentateuco?;Cinque leggi;Cinque rotoli;Storie;Fratelli;B;Etimo [8, 581, 582].
358;Buon Samaritano (solo)?;Matteo;Marco;Luca;Giovanni;C;Luca [288, 289].
359;Morte di Saul?;Gerusalemme;Bet-Sean (Gelboe);Ebron;Rama;B;Caduta [171, 583].
360;Elia vs Baal?;Eliseo;Elia;Isaia;Amos;B;Carmelo [209, 210].
361;587 a.C.?;722;587;538;63;B;Nabucodonosor [111, 584].
362;Tommaso?;Pietro;Giovanni;Tommaso;Andrea;C;Signore e Dio [426, 585, 586].
363;Isacco sacrificio?;Esodo;Levitico;Genesi;Numeri;C;Moria [256, 457, 587].
364;Apocalisse autore?;Paolo;Luca;Giovanni;Pietro;C;Patmos [588, 589].
365;Arcobaleno?;Stella;Arcobaleno;Nube;Sole;B;Noè [32, 37, 590].
366;Madre di Gesù?;Elisabetta;Anna;Maria;Sara;C;Vangeli [467].
367;Salomone sapienza?;Saul;Davide;Salomone;Ezechia;B;Cuore docile [228, 591].
368;Adam etimo?;Primo;Umanità (terra);Amico;Re;B;Nome [35, 592, 593].
369;Gv - Logos?;Matteo;Marco;Luca;Giovanni;D;Prologo [125, 126].
370;Sette giri Gerico?;Ai;Gerico;Gabaon;Hazor;B;Trombe [594, 595].
371;Successore Mosè?;Aronne;Caleb;Giosuè;Samuele;C;Giosuè [469, 596].
372;Pergamena?;Papiro;Pergamena;Ostraca;Legno;B;Pelle [509, 597, 598].
373;Versetti numerati?;XIII;XVI (1528);II;IV;B;Sante Pagnini [6, 599].
374;Nuova alleanza cuore?;Isaia;Geremia;Ezechiele;Daniele;B;Ger 31 [600, 601].
375;Autore Ebrei?;Paolo;Pietro;Ignoto;Luca;C;Moderni [235, 602].
376;Tribù senza terra?;Giuda;Beniamino;Levi;Efraim;C;Sacerdoti [603, 604].
377;Testamentum?;Legge;Alleanza;Eredità;Libro;B;Patto [382, 605].
378;I viaggio Paolo?;Sila;Barnaba;Timoteo;Luca;B;Barnaba [435, 473].
379;Totalità redenti?;1.000;12.000;144.000;7.000;C;Eletti [149, 606].
380;Pesce grande?;Osea;Giona;Amos;Michea;B;Giona [352, 607].
381;Caifa condanna?;Anna;Caifa;Erode;Pilato;B;Uno per tutti [167, 168].
382;Dieci Comandamenti?;Genesi;Esodo;Levitico;Numeri;B;Tavole [64, 608, 609].
383;Areopago?;Corinto;Atene;Filippi;Tessalonica;B;Dio Ignoto [441, 610].
384;Salomone Tempio?;Saul;Davide;Salomone;Giosia;C;Costruzione [105, 611].
385;Samuele Giudice?;Gedeone;Samuele;Saul;Davide;B;Transizione [90].
386;Mar Morto?;Rosso;Mediterraneo;Mar Morto;Galilea;C;-423m [178, 180].
387;Deuterocanonici?;Falsi;Perduti;Secondo canone;Profetici;C;LXX [11, 14, 612].
388;Servo sofferente?;Geremia;Ezechiele;Isaia;Daniele;C;Carmi [613, 614].
389;Gv - No parabole?;Matteo;Marco;Luca;Giovanni;D;Segni/Discorsi [16, 471].
390;Circoncisione distintiva?;Arco;Sabato;Circoncisione;Pane;C;Popolo [44, 615].
391;931 a.C. Scisma?;XII;XI;X (931 a.C.);VI;C;Monarchia [102, 476].
392;Chelkia trova libro?;Geremia;Chelkia;Esdra;Safan;B;Giosia [616, 617].
393;1 Pietro virtù?;Fede;Speranza;Carità;Prudenza;B;Sostegno [364, 618].
394;Malta naufragio?;Cipro;Creta;Malta;Rodi;C;Paolo [517, 518, 619].
395;Vulgata autore?;Agostino;Girolamo;Ambrogio;Damaso;B;Latino [21, 23, 620].
396;Giovanni - Sigilli?;Isaia;Geremia;Ezechiele;Giovanni;D;Apocalisse [331, 493, 621].
397;Biblía?;Dio;Sacro;I Libri;Legge;C;Significato [34, 45, 622].
398;Ciro sconfitta Babilonia?;Dario;Ciro;Serse;Artaserse;B;539 a.C. [623, 624].
399;Marco - No infanzia?;Matteo;Marco;Luca;Giovanni;B;Predicazione [283, 284, 286].
400;Lidia convertita?;Damaris;Lidia;Prisca;Febe;B;Europa [439, 440, 625].
401;V livello Alleanza?;Abramo;Sinai;Tribù di Levi;Davide;C;Murdocca [66, 68, 626].
402;VI livello Alleanza?;Arco;Circoncisione;Trono/Sacerdozio;Tavole;C;Davide [91, 627].
403;VII gradino Alleanza?;Ritorno;Tempio;Messia re e sacerdote;Fine;C;Culmine [91, 520, 628].
404;Cronache - Storia?;Militare;Storia sacra (tesi);Biografia;Scienza;B;Prospettiva [103, 629, 630].
405;Rimunerazione?;Ribellione;Premio/Castigo;Democrazia;Caso;B;Principio [103, 631].
406;Israele etimo?;Dio grande;Uomo contende con Dio;Terra;Amico;B;Giacobbe [46, 47, 632].
407;Efraim e Manasse?;12;2;3;Nessuno;B;Figli di Giuseppe [633-635].
408;Giuseppe trattiene...?;Ruben;Giuda;Simeone;Beniamino;C;Prova [636-638].
409;Monte Moria?;Sinai;Tabor;Moria;Carmelo;C;Isacco [256, 587, 639].
410;Angelo ferma Abramo?;Pioggia;Angelo del Signore;Soldati;Pianto;B;Fede [640, 641].
411;Segni Mosè?;Bastone/Mano/Acqua;Fuoco;Sogni;Pane;A;Incredulità [642, 643].
412;Manna - Tempo?;7 anni;12 anni;40 anni;100 anni;C;Sostentamento [59, 644, 645].
413;Sinai sinonimo?;Hermon;Oreb;Pisga;Ebal;B;Monte di Dio [52, 53, 374].
414;Arca - Contenuto?;Manna;Olio;Testimonianza (Decalogo);Vesti;C;Tavole [238, 646, 647].
415;Velo Dimora?;Coperta;Sole;Separa Santo/Santissimo;Avvolge;C;Santuario [240, 263, 385, 648].
416;Guida notturna?;Stella;Mappa;Fuoco sulla Dimora;Corno;C;Colonna [135, 528, 649].
417;Sacrificio gradito (Lv)?;Tori;Amore/Preghiera;Digiuno;Danza;B;Adesione [283, 650, 651].
418;Voti donna?;Sempre;Mai;Se marito non disapprova;Sacerdote;C;Numeri [652].
419;Scelta Deuteronomio?;Guerra;Vita/Bene o Morte/Male;Ricchezza;Esilio;B;Dt 30 [653-655].
420;Sichem - Rinnovo?;Gerusalemme;Gerico;Sichem;Ebron;C;Assemblea Giosuè [449, 656, 657].
421;Giosuè morte età?;100;110;120;80;B;Fine libro [82, 83, 658].
422;Giaele uccise Sisara?;Debora;Rut;Giaele;Giuditta;C;Piolo [86, 551, 659].
423;Sansone anni giudice?;7;10;20;40;C;Filistei [87, 660, 661].
424;Anna madre di...?;Rachele;Anna;Sara;Rebecca;B;Samuele [662-664].
425;Eli sacerdote?;Aronne;Zadok;Eli;Caifa;C;Custode Samuele [557, 665].
426;Parla, Signore...?;Chi è?;Parla, Signore, il tuo servo ascolta;Eccomi;No;B;Vocazione [666-668].
427;Davide contro Golia?;1;3;5;7;C;Ciottoli lisci [669-671].
428;Retribuzione (amici Gb)?;Errore;Punizione colpa;Casuale;Dono;B;Tesi [672-674].
429;Eliu - Sofferenza?;Maledizione;Medicinale/Istruzione;Fine;Illusione;B;Giovane [675-677].
430;Cherubini - Carro (Ez)?;Isaia;Geremia;Ezechiele;Daniele;C;Visione [274, 275, 678].
431;Euanghèlion?;Legge;Buona notizia;Storia;Visione;B;Gesù [117, 679].
432;Genealogia (Mt)?;Matteo;Marco;Luca;Giovanni;A;Abramo/Davide [442, 680].
433;Gv - Io Sono?;Matteo;Marco;Luca;Giovanni;D;Divinità [421, 519, 681].
434;Discepolo amato?;Pietro;Discepolo amato;Tommaso;Andrea;B;Croce [235, 236, 545].
435;Antiochia - Cristiani?;Gerusalemme;Antiochia;Roma;Efeso;B;Atti 11 [311, 434, 682].
436;Barnaba con Paolo?;Sila;Barnaba;Timoteo;Luca;B;Cipro [313, 435, 683].
437;Sara e Agar (Gal)?;Romani;1 Corinzi;Galati;Efesini;C;Allegoria [597, 684].
438;Kènosis (Fil)?;Creazione;Svuotamento di Cristo;Fine;Carità;B;Fil 2 [189, 685, 686].
439;Onèsimo schiavo?;Tichico;Onèsimo;Epafra;Marco;B;Filemone [219, 478, 687].
440;144.000 (Ap)?;Tribù;Totalità redenti;Martiri;Leviti;B;Pienezza [148, 149, 218].
441;Vieni, Signore Gesù?;Giovanni;Atti;Apocalisse;Ebrei;C;Conclusione [151, 688].
442;Ref. AT in NT (Murdocca)?;100;200;304;500;C;Conteggio [689, 690].
443;pluralis maiestatis?;Errore;Trinità/Deliberativo;Dèi;Traduzione;B;Gen 1 [313, 691].
444;Tobi fedele?;Digiuno;Seppellire i morti;Legge;Argento;B;Pietà [407-409].
445;Apokalypsis?;Fine;Distruzione;Rivelazione;Terremoto;C;Velo [353, 489, 692].
446;Giorno Sabato?;Sesto;Settimo;Primo;Ottavo;B;Consacrato [670, 693, 694].
447;Fiumi Eden?;Giordano;Nilo;Senza nome;Tevere;C;Pison/Ghicon/Tigri/Eufrate [483, 695, 696].
448;Caino - Custode?;Cacciatore;Morto;Sono forse io il custode?;No;C;Rifiuto [697-699].
449;Segno Diluvio?;Altare;Arco nelle nubi;Libro;Montagna;B;Pace [32, 694, 700].
450;Abramo - Carran età?;50;75;99;100;B;Obbedienza [41, 701, 702].
451;Ismaele figlio di...?;Isacco;Ismaele;Set;Esaù;B;Agar [6, 703, 704].
452;Circoncisione età?;75;86;99;100;C;Segno perenne [26, 43, 387].
453;Perché "Sara"?;Bellezza;Madre di nazioni;Punizione;Re;B;Benedizione [39, 705].
454;Giusti Sodoma?;100;12;Fino a 10;Solo 1;C;Preghiera Abramo [706, 707].
455;Caverna Macpela?;Sichem;Betel;Caverna Macpela;Gat;C;Sepolcro [101, 453].
456;Giuramento servo?;Egitto;No Cananee;Agnello;No ritorno;B;Sposa Isacco [256, 708].
457;Signore che desse bere?;Veste;Giovane generosa;Anello;Sogno;B;Rebecca [256, 709].
458;Esaù primogenitura?;Denaro;Odio;Minestra lenticchie;Cavallo;C;Fame [710-712].
459;Giacobbe inganno?;Combattendo;Travestendosi;Comprando;Aspettando;B;Pelli [256, 713].
460;Scala di Giacobbe?;Roveto;Scala verso il cielo;Carro;Vacche;B;Betel [714, 715].
461;Anni per Rachele?;7;14;20;1;B;Servizio a Labano [256, 485].
462;Salario Giacobbe?;Oro;Animali punteggiati;Terra;Libertà;B;Astuzia [30, 716].
463;Penuel lotta?;Betel;Sichem;Guado Iabbok (Penuel);Sinai;C;Israele [46, 717, 718].
464;Tunica Giuseppe?;Arco;Anello;Tunica maniche lunghe;Gregge;C;Preferenza [20, 719].
465;Ruben cisterna?;Giuda;Ruben;Simeone;Beniamino;B;Salvare [720, 721].
466;Giuseppe venduto a...?;Faraone;Potifar;Pastore;Mercante;B;Egitto [634, 722].
467;Moglie Potifar accusa?;Furto;Falsa accusa tradimento;Omicidio;Sogno;B;Prigione [634, 723].
468;Titolo Giuseppe?;Sacerdote;Zafnat-Paneach;Mosè;Ramses;B;Governatore [486, 634, 724].
469;Giuseppe anni Faraone?;17;20;30;40;C;Maturità [634, 725].
470;Portare Beniamino?;Oro;Portare Beniamino;Schiavi;Esilio;B;Giuseppe [637, 726].
471;Coppa d'argento?;Ruben;Giuda;Sacco Beniamino;Scomparsa;C;Test [634, 727, 728].
472;Gosen?;Menfi;Tebe;Gosen;Alessandria;C;Regione fertile [634, 729].
473;Resti di Giuseppe?;Bruciati;Imbalsamati e portati via;Nilo;Piramide;B;Esodo [634, 730, 731].
474;Dina?;Tamar;Dina;Rachele;Lia;B;Figlia Giacobbe [732, 733].
475;Roveto ardente?;Terremoto;Roveto ardente;Manna;Fumo;B;Mosè Oreb [52, 734].
476;Decima piaga?;Locuste;Tenebre;Morte primogeniti;Grandine;C;Egitto [54, 55, 735].
477;Sangue agnello?;Preghiera;Sangue sugli stipiti;Digiuno;Incenso;B;Pasqua [77, 216].
478;Mese Abib?;Nisan;Abib;Elul;Adar;B;Uscita [23, 51, 736].
479;600 carri?;100;600;1000;12;B;Inseguimento Faraone [737, 738].
480;Bastone Mosè?;Lancia;Spada;Bastone;Mani;C;Mar Rosso [53, 739].
481;Mara?;Dolce;Amara;Santa;Profonda;B;Sorgente [142, 740].
482;Quaglie sera?;Pane;Quaglie;Rugiada;Miele;B;Insieme manna [142, 741].
483;Refidim (Massa/Meriba)?;Sinai;Refidim;Mara;Gerico;B;Roccia/Acqua [742, 743].
484;Ietro?;Aronne;Giosuè;Ietro (suocero);Caleb;C;Consiglio giudici [743-745].
485;Divieto Sinai?;Mangiare;Non toccare monte;Cantare;Dormire;B;Purezza [63, 746].
486;I Comandamento?;Non uccidere;Onora;Non avrai altri dèi;Sabato;C;Esclusività [609, 747, 748].
487;Taglione?;Vendetta;Limite (proporzionalità);Morte;Multa;B;Esodo/Lv [71, 749, 750].
488;Schiavo ebreo anni?;1;3;6;10;C;Settimo anno libero [70, 522].
489;Azzimi?;Pentecoste;Pasqua;Capanne;Purim;B;Pane senza lievito [51, 76].
490;Aronne vitello?;Popolo;Aronne;Giosuè;Artigiano;B;Idolatria [751, 752].
491;Levi - Punizione?;Giuda;Beniamino;Levi;Efraim;C;Consacrazione [752, 753].
492;Vedere Gloria?;Volto;Gloria;Miracolo;Fine;B;Mosè Sinai [754, 755].
493;Volto raggiante?;Vecchio;Raggiante;Polveroso;Uguale;B;Velo Mosè [135, 756].
494;Montone riparazione?;Toro;Montone;Colomba;Maiale;B;Levitico [757-759].
495;Ama prossimo?;Non rubare;Amerai prossimo come te stesso;Onora;Sabato;B;Lv 19 [651, 760, 761].
496;Paga bracciante?;Fine mese;Non deve restare la notte;Frustate;No diritti;B;Lv 19 [761, 762].
497;50 anni?;7;10;50;100;C;Giubileo [70, 763-765].
498;Interesse (usura)?;10%;Vietato tra fratelli;Solo viveri;Permesso;B;Solidarietà [149, 766].
499;Dura cervice?;Forti;Testardi/Ribelli;Eletti;Saggi;B;Popolo [88, 95, 767].
500;Balaam?;Elia;Balaam;Samuele;Michea;B;Maledire Israele [505, 768, 769].
501;Qual è il significato etimologico del nome "Giosuè"?;Dio è con noi;Jhwh salva;Re di giustizia;Servo del Signore;B;Ha la stessa radice del nome di Gesù [1].
502;Quale compito ricevette Giosuè alla morte di Mosè?;Scrivere leggi;Guidare l'ingresso in Canaan;Costruire il Tempio;Sacerdote di Silo;B;Giosuè guidò il popolo nella terra promessa [2].
503;Quanti esploratori inviò Giosuè a Gerico?;12;7;2;3;C;Inviò due uomini per esplorare segretamente la città [3].
